CUISINE,Fear,Trust,Negative,Positive,Joy,Disgust,Anticipation,Sadness,Surprise
Bakery Products/Desserts,0.71,3.48,1.74,6.87,4.28,0.64,3.23,0.69,1.77
Hamburgers,1.3,3.91,2.79,6.14,3.2,1.12,2.66,1.27,0.95
Irish,0.88,4.33,1.78,6.81,4.55,0.41,3.39,1.0,1.52
Sandwiches,1.08,3.7,2.12,6.26,3.38,0.86,2.91,0.95,1.12
Frozen Desserts,0.89,3.87,2.36,8.23,5.77,0.77,5.29,1.07,3.32
American,0.85,4.25,1.85,7.27,4.58,0.59,3.28,0.96,1.52
Chinese,1.55,5.45,2.12,8.23,5.26,0.86,3.33,0.87,1.5
Jewish/Kosher,0.93,4.59,1.87,7.76,5.04,0.71,3.27,1.02,1.44
Pizza,0.9,3.67,1.95,6.04,3.52,0.74,3.23,0.88,1.38
Steakhouse,0.47,4.79,1.47,8.18,5.05,0.4,3.62,0.72,1.82
Italian,0.57,4.56,1.57,7.62,4.99,0.43,3.1,0.87,1.55
Latin American,1.09,5.09,1.98,7.7,5.33,0.74,3.01,1.03,1.49
German,0.21,4.67,1.27,7.58,5.81,0.57,3.12,0.5,1.42
French,0.53,4.69,1.58,8.21,4.91,0.49,3.19,0.92,1.61
Coffee/Tea,0.66,3.71,1.85,6.77,3.7,0.59,3.1,0.85,1.3
Seafood,0.82,3.95,1.87,6.31,4.23,0.69,2.75,1.01,1.3
Soul Food,1.63,4.84,2.25,7.14,5.06,1.24,2.59,1.29,1.46
Mexican,0.82,5.07,1.83,7.66,5.32,0.61,3.07,0.85,1.47
Bottled Beverages,1.09,3.14,2.25,5.75,3.73,0.5,3.4,1.22,1.06
Spanish,0.93,4.87,1.65,7.75,5.19,0.63,3.04,0.75,1.56
Japanese,0.8,4.17,1.65,7.25,4.61,0.54,3.16,0.78,1.46
Greek,0.84,6.0,1.39,9.6,6.35,0.57,3.43,0.68,1.49
Mediterranean,0.77,4.81,1.47,8.37,5.13,0.65,2.71,0.61,1.25
Donuts,1.12,2.85,2.56,4.96,2.32,1.09,2.77,1.05,1.05
Indian,0.99,5.44,1.57,8.2,5.77,0.37,3.0,0.7,1.28
Caribbean,1.73,4.75,2.25,7.16,4.69,0.88,2.89,1.01,1.8
Russian,0.76,5.21,1.8,9.28,6.44,0.66,3.64,1.14,1.42
Ethiopian,0.48,4.81,0.96,7.57,4.69,0.12,3.12,0.12,1.56
Tex-Mex,1.17,4.34,2.48,6.64,4.12,0.98,3.1,0.98,1.34
Barbecue,1.42,4.48,2.88,6.97,4.98,1.03,3.24,1.25,1.85
Korean,0.91,3.93,1.94,6.49,4.15,0.51,2.83,0.76,1.23
Egyptian,1.49,5.06,1.79,7.44,5.95,1.19,3.27,0.89,2.08
Bagels/Pretzels,0.63,3.06,1.76,5.9,3.5,0.52,3.25,0.72,1.73
Pancakes/Waffles,0.95,4.55,3.05,6.86,3.87,0.88,3.6,1.36,1.49
Chinese/Cuban,1.23,6.67,1.58,9.82,7.72,0.88,2.28,0.88,1.23
Asian/Asian Fusion,0.97,4.68,1.84,7.58,4.89,0.5,3.19,0.75,1.26
Portuguese,1.02,4.47,2.24,7.72,5.08,0.61,3.66,0.81,3.05
Indonesian,0.81,6.05,0.81,9.68,5.65,0.0,2.42,0.0,0.81
Turkish,1.02,5.5,1.58,8.14,5.88,0.64,3.07,0.9,1.79
Middle Eastern,1.03,4.7,1.57,7.78,5.1,0.45,3.0,0.86,1.59
Eastern European,0.8,4.53,1.27,8.16,5.33,0.42,2.93,0.76,1.13
Filipino,1.06,4.53,1.16,7.04,5.01,0.29,3.47,0.87,1.64
Brazilian,1.03,3.69,1.85,7.18,4.21,0.62,2.05,0.92,0.62
Southeast Asian,0.76,4.38,1.65,7.25,4.71,0.56,2.89,0.68,1.28
Chicken,2.74,4.07,2.53,6.26,3.9,1.03,2.91,1.01,1.3
Bangladeshi,0.71,4.52,1.68,7.09,5.05,0.97,2.21,0.8,1.06
"Juice, Smoothies, Fruit Salads",0.76,3.82,1.94,6.97,3.77,0.65,2.99,0.88,1.5
Moroccan,1.2,2.41,0.0,8.43,2.41,0.0,1.2,0.0,1.2
Vegetarian,0.53,4.19,1.44,7.27,4.52,0.49,2.88,0.74,1.73
Pakistani,1.71,5.86,2.0,8.29,5.93,1.0,2.64,0.57,1.71
Peruvian,1.41,4.7,1.67,6.99,4.58,0.82,3.35,0.68,1.35
Fusion,1.43,4.99,2.61,8.55,5.46,0.95,3.8,0.0,1.9
Polish,1.09,6.86,2.5,11.23,7.96,0.62,2.34,0.78,1.09
Thai,0.9,5.12,1.82,8.69,5.36,0.8,3.31,0.76,1.53
Continental,1.0,3.79,1.67,6.79,3.9,0.78,2.56,0.78,1.0
Sandwiches/Salads/Mixed Buffet,1.1,3.63,1.7,6.43,3.77,0.51,3.14,0.74,1.73
Tapas,0.81,3.8,1.76,6.92,4.07,0.68,2.17,0.68,0.95
African,0.46,5.09,1.75,7.66,5.09,0.57,2.83,0.67,1.18
Czech,0.0,2.44,3.66,8.54,7.32,1.22,2.44,0.0,0.0
Salads,1.37,2.87,2.62,5.81,3.0,0.94,2.81,1.0,1.19
Afghan,2.03,6.5,1.02,9.76,7.11,0.61,3.86,0.61,2.03
Cajun,0.86,5.43,2.0,9.14,5.14,0.57,4.0,1.43,1.71
Australian,1.16,3.25,1.86,5.8,3.94,0.0,4.87,0.46,1.39
Scandinavian,0.0,1.29,1.29,6.45,2.58,0.0,3.87,0.65,0.65
Chinese/Japanese,0.43,3.66,1.19,5.93,3.66,0.54,2.91,0.54,1.62
Creole/Cajun,1.22,7.32,2.44,8.54,7.32,3.66,3.66,2.44,3.66
Soups/Salads/Sandwiches,1.02,3.44,1.86,6.04,3.27,0.4,2.65,0.9,0.85
Southwestern,0.0,3.3,1.1,4.4,3.3,1.1,2.2,1.1,2.2
Other,1.18,4.6,1.84,7.83,5.43,0.88,3.37,1.01,1.75
Vegan,0.53,4.71,1.52,6.46,4.26,0.53,2.59,0.91,1.75
Creole,0.95,7.38,1.9,10.48,7.62,0.48,3.57,1.67,1.67
Hotdogs,0.4,2.8,2.4,5.6,3.2,0.4,3.6,0.6,2.0
English,1.17,3.11,1.56,4.67,2.72,0.78,1.95,0.78,0.39
Hotdogs/Pretzels,0.0,1.18,1.18,4.71,2.35,0.0,2.35,0.0,1.18
New American,0.3,3.33,2.12,7.27,4.24,0.61,2.42,1.52,0.91
Haute Cuisine,0.0,2.41,0.0,10.84,6.02,0.0,2.41,1.2,0.0
New French,0.0,2.89,0.58,5.78,2.89,0.0,1.73,0.0,0.58
Hawaiian,0.0,3.73,2.83,7.2,3.86,0.39,4.88,0.64,1.16
Chilean,0.65,3.25,1.3,5.84,2.6,0.65,3.25,1.3,0.0
Soups,0.0,1.82,0.0,6.67,1.82,0.0,3.03,0.0,0.61
Lebanese,0.0,3.19,1.06,5.32,2.13,0.0,3.19,0.0,0.0
Not Listed/Not Applicable,0.0,5.13,1.28,10.26,7.69,1.28,5.13,1.28,2.56
